,index_id1,index_id2,value,comment1,comment2,index_name1,year_period1,type1,sub_type1,value_ontology1,dispersion1,index_name2,year_period2,type2,sub_type2,value_ontology2,dispersion2
51271,107426,42439.0,-0.5997190497660949,107426,42439,每万人冷饮店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3595987522571397,【养老】类热点影响力（月度）（万人次）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.8286925795053004
51272,107399,42439.0,-0.5699747442452224,107399,42439,每万人西餐厅(综合风味)相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3897365781410996,【养老】类热点影响力（月度）（万人次）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.8286925795053004
51353,56466,42439.0,-0.6108837598595146,56466,42439,餐饮服务；冷饮店；此类数据总个数,f,POI,餐饮服务,ValueOntology.QUANTITY,0.3382352941176471,【养老】类热点影响力（月度）（万人次）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.8286925795053004
51399,54195,42439.0,-0.5605821752942094,54195,42439,餐饮服务；外国餐厅；西餐厅(综合风味)；此类数据总个数,f,POI,餐饮服务,ValueOntology.QUANTITY,0.4,【养老】类热点影响力（月度）（万人次）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.8286925795053004
62943,107534,42440.0,0.6017025048875497,107534,42440,每万人游戏厅相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.5841996861514319,【养老】类总议论数（月度）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.3793103448275862
62949,107426,42440.0,-0.5743376826630852,107426,42440,每万人冷饮店相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3595987522571397,【养老】类总议论数（月度）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.3793103448275862
62950,107399,42440.0,-0.559634706900827,107399,42440,每万人西餐厅(综合风味)相关兴趣点数量,f,POI,平均每万人相关兴趣点数,ValueOntology.QUANTITY_PER_CAPITA,0.3897365781410996,【养老】类总议论数（月度）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.3793103448275862
62970,56614,42440.0,0.5972651437461314,56614,42440,体育休闲服务；娱乐场所；游戏厅；此类数据总个数,f,POI,体育休闲服务,ValueOntology.QUANTITY,0.6,【养老】类总议论数（月度）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.3793103448275862
63201,56466,42440.0,-0.5827708244994669,56466,42440,餐饮服务；冷饮店；此类数据总个数,f,POI,餐饮服务,ValueOntology.QUANTITY,0.3382352941176471,【养老】类总议论数（月度）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.3793103448275862
63263,157618,42440.0,-0.6403393993113087,157618,42440,空气质量同比改善率,f,环境,,ValueOntology.DIFF_RATE,0.6270365246871261,【养老】类总议论数（月度）,f,舆情,网络口碑,ValueOntology.QUANTITY,0.3793103448275862
